fund_name,tvpi_reported,tvpi_calc,total_contributed,total_value
"Oaktree Opportunities Fund VIII-B, L.P.",1.5,1.4505,125000000,181318245
"KKR Asian Fund IV SCSp",1.1,1.0506,39503074,41503797
"Green Equity Investors VI, L.P.",2.3,2.2508,332633236,748697193
"Fisher Lynch Co-Investment Partnership II, L.P.",2.5,2.5486,515501196,1313788586
"TPG Growth V, L.P.",1.3,1.2515,161104294,201627859
"TPG Partners VIII, L.P.",1.8,1.8484,185091287,342125862
"Triton Fund III, L.P.",1.6,1.5519,251180457,389815625
"Jade Equity Investors, L.P.",1.7,1.7477,33543811,58625003
"Actis Global 4, L.P.",1.4,1.3523,287732992,389095431
"CDH Fund IV, L.P.",1.5,1.4524,27544589,40006082
"Providence Strategic Growth Europe, L.P.",1.3,1.3471,30142527,40603622
"Advent International GPE VII-B, L.P.",2,2.0462,376020122,769425107
"Silver Lake Partners VI, L.P.",1.3,1.2542,175736735,220412514
"Permira VII, L.P.",1.2,1.1544,158563793,183048370
"Triton Fund IV, L.P.",1.4,1.4455,209142508,302310174
"Banc Fund IX, L.P.",1.5,1.4546,100000000,145460753
"Charterhouse Capital Partners IX, L.P.",1.4,1.3553,252108597,341683745
"Blackstone Capital Partners VII, L.P.",1.6,1.5554,461891467,718431339
"GTCR Fund XII, L.P.",1.6,1.6446,285817092,470063637
"Warburg Pincus China, L.P.",1.8,1.7557,179603795,315332050
"Green Equity Investors VII, L.P.",2.1,2.0562,310036136,637483879
"Fisher Lynch Co-Investment Partnership IV, L.P.",1.4,1.3562,689152881,934657911
"Nordic Capital Fund X, L.P.",1.5,1.5437,23722156,36620028
"Insight Venture Partners IX, L.P.",4.1,4.0566,153534417,622833390
"TSSP Opportunities Partners IV, L.P.",1.3,1.2568,114221412,143553610
"Advent International GPE VIII-B, L.P.",2.2,2.2432,474500000,1064381659
"Oaktree Opportunities Fund IX, L.P.",1.3,1.3428,400000000,537126173
"Centurium Capital Partners 2018, L.P.",1.3,1.2579,188047787,236537521
"TCV XI, L.P.",0.9,0.9417,46921766,44184413
"Insight Venture Partners VIII, L.P.",3,3.0407,158867069,483069069
"KSL Capital Partners IV, L.P.",1.4,1.4406,241747061,348262187
"TCV VIII, L.P.",2.8,2.7594,130762533,360828505
"Menlo Ventures XV, L.P.",0.9,0.9406,31250000,29393857
"Advent Latin American Private Equity Fund VI-H, L.P.",1.6,1.5596,146480000,228448446
"Trident VII, L.P.",1.6,1.6390,256493742,420393387
"Endeavour Capital Fund V, L.P. - Secondary Purchase",2.1,2.0611,148465,305996
"TA XII, L.P.",2.5,2.5383,283966685,720802013
"GI Partners Fund IV, L.P.",2,1.9618,157511128,309005888
"Silver Lake Partners V, L.P.",1.7,1.7378,497889705,865255768
"Hellman & Friedman Capital Partners VIII, L.P.",2,1.9635,610277012,1198276667
"Blackstone Capital Partners VI, L.P.",1.7,1.7364,323695230,562077508
"Advent International GPE IX, L.P.",1.9,1.9361,253572434,490940676
"Hellman & Friedman Capital Partners VII, L.P.",3.3,3.3355,382186172,1274798937
"New Mountain Partners VI, L.P.",1,0.9650,30665474,29592311
"Oaktree Opportunities Fund XI, L.P.",1.4,1.3654,40000000,54615846
"Oaktree Opportunities Fund X, L.P.",1.4,1.3656,186000000,253992977
"TPG Partners VII, L.P.",1.9,1.8658,574039816,1071021322
"KKR North America Fund XI, L.P.",2.1,2.0660,572972095,1183770832
"Trident VIII, L.P.",1.2,1.1661,184274830,214874044
"Green Equity Investors VIII, L.P.",1,1.0336,164129571,169642152
"Affinity Asia Pacific Fund V, L.P.",1.4,1.3670,74952380,102461363
"Menlo Special Opportunities Fund II, L.P.",1.3,1.3329,149894315,199798030
"FountainVest China Growth Capital Fund II, L.P.",1.6,1.5673,163728873,256617297
"BGH Capital Fund I, L.P.",1.3,1.3321,77771252,103595389
"Tailwind Capital Partners III, L.P.",1.2,1.1681,117923935,137752013
"KSL Capital Partners Supplemental II TE, L.P.",2.2,2.1684,21661083,46970637
"Triton Fund V, L.P.",1.2,1.1686,139519481,163043971
"Providence Equity Partners VII, L.P.",2.1,2.1313,408802911,871298327
"Warburg Pincus Energy, L.P.",0.9,0.8688,179763629,156176351
"Francisco Partners VI, L.P.",1.1,1.1308,33750000,38163163
"Cinven Fifth Fund, L.P.",1.8,1.7700,246887440,436987956
"Hellman & Friedman Capital Partners IX, L.P.",1.3,1.2701,524475345,666159584
"Riverside Capital Appreciation Fund VII, L.P.",1.4,1.4296,133148792,190348008
"Cinven Sixth Fund",1.9,1.8711,270799111,506690320
"Denham Commodity Partners Fund VI, L.P.",1,1.0286,227032429,233535214
"EIG Energy Fund XVI, L.P.",1.2,1.1718,193244773,226443888
"Blackstone Capital Partners VIII, L.P.",1.3,1.2718,91415893,116263975
"Apax IX USD, L.P.",2.2,2.1719,248935561,540653529
"Searchlight Capital Partners III, L.P.",1.4,1.3719,109163836,149765639
"Roark Capital Partners IV, L.P.",1.4,1.3726,152473286,209287611
"Carlyle Partners VII, L.P.",1.1,1.1273,429054020,483671251
"First Reserve Fund XIII, L.P.",0.9,0.9268,445634220,413018597
"Oaktree Opportunities Fund VIII, L.P.",1.5,1.4736,125000000,184199417
"Towerbrook Investors V, L.P.",0.9,0.9260,110600843,102421442
"Sequoia Global Growth Fund III - Endurance Partners, L.P.",2,2.0260,245353516,497081937
"Francisco Partners V, L.P.",1.5,1.5259,181500000,276947925
"Menlo Ventures XII, L.P.",1.8,1.7741,113519680,201390136
"TPG Growth IV, L.P.",1.4,1.4247,283847192,404395721
"Southern Cross Latin America Private Equity Fund IV, L.P. - WSIB Secondary",0.2,0.2246,3874275,870034
"Riverside Micro-Cap Fund V, L.P.",1.3,1.2761,37081350,47319949
"TCV IX, L.P.",2.7,2.7239,161423853,439697855
"KKR European Fund IV, L.P.",1.7,1.7234,239093202,412064702
"FountainVest China Capital Partners Fund III, L.P.",1.4,1.3767,189574543,260981633
"Bridgepoint Europe VI, L.P.",1.2,1.2230,210518949,257455501
"Insight Partners XI, L.P.",1.6,1.5775,159000000,250818395
