report_date,assigned_unid,fund_name,initial_investment_date,commitment,contributions,unfunded_commitment,current_market_value,distributions,total_value,tvpi,net_benefit,irr,strategy
"2021-06-30 00:00:00",0OhJnjbEk9uP0J2Ar3pz,"Endeavour Capital Fund VI, L.P.","2011-12-01 00:00:00",95000000,92769883,5570827,76755498,100266779,177022277,1.9,84252394,0.129,"Corporate Finance/Buyout - Small"
"2021-03-31 00:00:00",0OhJnjbEk9uP0J2Ar3pz,"Endeavour Capital Fund VI, L.P.","2011-12-01 00:00:00",95000000,92349345,5991365,59567695,99447831,159015526,1.7,66666182,0.1128,"Corporate Finance/Buyout - Small"
"2020-12-31 00:00:00",0OhJnjbEk9uP0J2Ar3pz,"Endeavour Capital Fund VI, L.P.","2011-12-01 00:00:00",95000000,92349345,5991365,59298238,99447831,158746069,1.7,66396725,0.1143,"Corporate Finance/Buyout - Small"
"2020-09-30 00:00:00",0OhJnjbEk9uP0J2Ar3pz,"Endeavour Capital Fund VI, L.P.","2011-12-01 00:00:00",95000000,90479601,5991365,53564275,96010587,149574862,1.7,59095262,0.1072,"Corporate Finance/Buyout - Small"
"2020-06-30 00:00:00",0OhJnjbEk9uP0J2Ar3pz,"Endeavour Capital Fund VI, L.P.","2011-12-01 00:00:00",95000000,90523301,5991365,43620935,96010587,139631522,1.5,49108221,0.0954,"Corporate Finance/Buyout - Small"
"2020-03-31 00:00:00",0OhJnjbEk9uP0J2Ar3pz,"Endeavour Capital Fund VI, L.P.","2011-12-01 00:00:00",95000000,90523906,5991365,40522810,96010587,136533397,1.5,46009491,0.0922,"Corporate Finance/Buyout - Small"
"2019-12-31 00:00:00",0OhJnjbEk9uP0J2Ar3pz,"Endeavour Capital Fund VI, L.P.","2011-12-01 00:00:00",95000000,88835018,5991365,52383788,92355971,144739759,1.6,55904741,0.1083,"Corporate Finance/Buyout - Small"
"2019-09-30 00:00:00",0OhJnjbEk9uP0J2Ar3pz,"Endeavour Capital Fund VI, L.P.","2011-12-01 00:00:00",95000000,88835018,5991365,52801478,92355971,145157449,1.6,56322431,0.1109,"Corporate Finance/Buyout - Small"
"2019-06-30 00:00:00",0OhJnjbEk9uP0J2Ar3pz,"Endeavour Capital Fund VI, L.P.","2011-12-01 00:00:00",95000000,88835018,5991365,61389214,79921627,141310841,1.6,52475823,0.1075,"Corporate Finance/Buyout - Small"
"2019-03-31 00:00:00",0OhJnjbEk9uP0J2Ar3pz,"Endeavour Capital Fund VI, L.P.","2011-12-01 00:00:00",95000000,87943935,7011040,65106891,76143929,141250820,1.6,53306885,0.1114,"Corporate Finance/Buyout - Small"
"2018-12-31 00:00:00",0OhJnjbEk9uP0J2Ar3pz,"Endeavour Capital Fund VI, L.P.","2011-12-01 00:00:00",95000000,87943935,7011040,91397678,49592139,140989817,1.6,53045882,0.1144,"Corporate Finance/Buyout - Small"
"2018-09-30 00:00:00",0OhJnjbEk9uP0J2Ar3pz,"Endeavour Capital Fund VI, L.P.","2011-12-01 00:00:00",95000000,87943935,7011040,93975285,37815698,131790983,1.5,43847048,0.1025,"Corporate Finance/Buyout - Small"
"2018-06-30 00:00:00",0OhJnjbEk9uP0J2Ar3pz,"Endeavour Capital Fund VI, L.P.","2011-12-01 00:00:00",95000000,87943935,7011040,97400000,32596148,129996148,1.5,42052213,0.1036,"Corporate Finance/Buyout - Small"
"2018-03-31 00:00:00",0OhJnjbEk9uP0J2Ar3pz,"Endeavour Capital Fund VI, L.P.","2011-12-01 00:00:00",95000000,86728680,8226295,97580605,28243119,125823724,1.5,39095044,0.1023,"Corporate Finance/Buyout - Small"
"2017-12-31 00:00:00",0OhJnjbEk9uP0J2Ar3pz,"Endeavour Capital Fund VI, L.P.","2011-12-01 00:00:00",95000000,85708990,9245985,95709606,28243119,123952725,1.4,38243735,0.1056,"Corporate Finance/Buyout - Small"
"2017-09-30 00:00:00",0OhJnjbEk9uP0J2Ar3pz,"Endeavour Capital Fund VI, L.P.","2011-12-01 00:00:00",95000000,85708990,9245985,84142246,28243119,112385365,1.3,26676375,0.0819,"Corporate Finance/Buyout - Small"
"2017-06-30 00:00:00",0OhJnjbEk9uP0J2Ar3pz,"Endeavour Capital Fund VI, L.P.","2011-12-01 00:00:00",95000000,85754015,9245985,84266490,27425363,111691853,1.3,25937838,0.0846,"Corporate Finance/Buyout - Small"
"2017-03-31 00:00:00",0OhJnjbEk9uP0J2Ar3pz,"Endeavour Capital Fund VI, L.P.","2011-12-01 00:00:00",95000000,85754015,9245985,85735571,25014139,110749710,1.3,24995695,0.0869,"Corporate Finance/Buyout - Small"
"2016-12-31 00:00:00",0OhJnjbEk9uP0J2Ar3pz,"Endeavour Capital Fund VI, L.P.","2011-12-01 00:00:00",95000000,84132784,10867216,83506675,25014139,108520814,1.3,24388030,0.0906,"Corporate Finance/Buyout - Small"
"2016-09-30 00:00:00",0OhJnjbEk9uP0J2Ar3pz,"Endeavour Capital Fund VI, L.P.","2011-12-01 00:00:00",95000000,81875755,13124245,99579311,7864108,107443419,1.3,25567664,0.1019,"Corporate Finance/Buyout - Small"
"2016-06-30 00:00:00",0OhJnjbEk9uP0J2Ar3pz,"Endeavour Capital Fund VI, L.P.","2011-12-01 00:00:00",95000000,81875755,13124245,99270009,7864108,107134117,1.3,25258362,0.1101,"Corporate Finance/Buyout - Small"
"2016-03-31 00:00:00",0OhJnjbEk9uP0J2Ar3pz,"Endeavour Capital Fund VI, L.P.","2011-12-01 00:00:00",95000000,81875755,13124245,100060303,6556801,106617104,1.3,24741349,0.1189,"Corporate Finance/Buyout - Small"
"2015-12-31 00:00:00",0OhJnjbEk9uP0J2Ar3pz,"Endeavour Capital Fund VI, L.P.","2011-12-01 00:00:00",95000000,78330391,16669609,96171566,6556801,102728367,1.3,24397976,0.1305,"Corporate Finance/Buyout - Small"
"2015-09-30 00:00:00",0OhJnjbEk9uP0J2Ar3pz,"Endeavour Capital Fund VI, L.P.","2011-12-01 00:00:00",95000000,69007032,25992968,78922412,6556801,85479213,1.2,16472181,0.1022,"Corporate Finance/Buyout - Small"
