report_date,assigned_unid,fund_name,initial_investment_date,commitment,contributions,unfunded_commitment,current_market_value,distributions,total_value,tvpi,net_benefit,irr,strategy,rn
"2021-06-30 00:00:00",0OhJnjbEk9uP0J2Ar3pz,"Endeavour Capital Fund VI, L.P.","2011-12-01 00:00:00",95000000,92769883,5570827,76755498,100266779,177022277,1.9,84252394,0.129,"Corporate Finance/Buyout - Small",1
"2021-06-30 00:00:00",0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.","2013-03-22 00:00:00",300000000,305447065,45366180,183100817,279440419,462541236,1.5,157094171,0.1521,"Corporate Finance/Buyout - Mid",1
"2021-06-30 00:00:00",0ri4vpbc8xitqiw9a7b8,"Insight Venture Partners VIII, L.P.","2013-07-10 00:00:00",150000000,158867069,3071261,162357043,320712026,483069069,3,324201999,0.2243,"Growth Equity",1
"2021-06-30 00:00:00",0y1iprqp200ulazb5mjq,"Silver Lake Partners V, L.P.","2018-06-12 00:00:00",540000000,497889705,79297004,765925915,99329853,865255768,1.7,367366063,0.352,"Corporate Finance/Buyout - Mega",1
"2021-06-30 00:00:00",12s33xgz5jxwy8v5wi5c,"Insight Partners XI, L.P.","2020-03-25 00:00:00",200000000,159000000,41000000,250799157,19238,250818395,1.6,91818395,0.9988,"Growth Equity",1
"2021-06-30 00:00:00",14f1f2egxqjhydex1i2w,"Endeavour Capital Fund V, L.P. - Secondary Purchase","2020-12-31 00:00:00",7686196,148465,9350,305996,0,305996,2.1,157531,1.0611,"Corporate Finance/Buyout - Small",1
"2021-06-30 00:00:00",1b15u81m10glzmdd2vc0,"KKR Asian Fund III, L.P.","2018-02-12 00:00:00",500000000,382702024,152890696,557793216,86740245,644533461,1.7,261831437,0.3447,"Corporate Finance/Buyout - Mega",1
"2021-06-30 00:00:00",1bhqetsbpjlm6xbie933,"Warburg Pincus Global Growth, L.P.","2019-03-26 00:00:00",750000000,507750000,242250000,603168631,12655751,615824382,1.2,108074382,0.2633,"Growth Equity",1
"2021-06-30 00:00:00",1hrol9krxp6xqlgyu94a,"Permira VI, L.P.","2017-01-11 00:00:00",368543150,325063397,85241982,583097764,93068124,676165889,2.1,351102492,0.3071,"Corporate Finance/Buyout - Mega",1
"2021-06-30 00:00:00",1oapg24mclvcqvnze6dk,"Affinity Asia Pacific Fund V, L.P.","2018-12-11 00:00:00",350000000,74952380,281807792,95037446,7423917,102461363,1.4,27508983,0.1536,"Corporate Finance/Buyout - Large",1
"2021-06-30 00:00:00",1rmffc6texfebq4n7ra4,"KKR Americas Fund XII, L.P.","2017-10-31 00:00:00",750000000,571911755,217456392,1141521447,63872761,1205394208,2.1,633482453,0.4298,"Corporate Finance/Buyout - Mega",1
"2021-06-30 00:00:00",1ts069ug8kvsp58lpbpm,"Sequoia Global Growth Fund III - Endurance Partners, L.P.","2018-06-11 00:00:00",350000000,245353516,104646484,486023073,11058864,497081937,2,251728421,0.6227,"Growth Equity",1
"2021-06-30 00:00:00",29uzxs9542lntiz31r0a,"Oaktree Opportunities Fund IX, L.P.","2013-03-26 00:00:00",400000000,400000000,0,288421671,248704502,537126173,1.3,137126173,0.0517,"Distressed Debt",1
"2021-06-30 00:00:00",2gsdadg826vsvh96yydj,"GI Partners Fund IV, L.P.","2014-01-24 00:00:00",150000000,157511128,2124034,170267488,138738400,309005888,2,151494760,0.1713,"Corporate Finance/Buyout - Mid",1
"2021-06-30 00:00:00",2pf202x8sn2mltpotabw,"Riverside Capital Appreciation Fund VI, L.P.","2013-12-06 00:00:00",150000000,155845391,16669148,83641353,148287303,231928656,1.5,76083265,0.1184,"Corporate Finance/Buyout - Mid",1
"2021-06-30 00:00:00",395fdc2lufai9sq18foo,"Insight Venture Partners Growth-Buyout Coinvestment Fund, L.P.","2015-05-11 00:00:00",50000000,48009467,6261601,130593285,61920368,192513653,4,144504186,0.3864,"Growth Equity",1
"2021-06-30 00:00:00",3g99z9xas3ihgxua8lt2,"Francisco Partners VI, L.P.","2021-01-26 00:00:00",300000000,33750000,266250000,38163163,0,38163163,1.1,4413163,0.2089,"Corporate Finance/Buyout - Large",1
"2021-06-30 00:00:00",3oR7442vcPzZmIT7uDur,"GTCR Fund X, L.P.","2011-07-18 00:00:00",300000000,314559474,24008619,28480004,607616197,636096201,2,321536727,0.2128,"Corporate Finance/Buyout - Mid",1
"2021-06-30 00:00:00",3ypqxny1e4rkjsdta2bc,"Francisco Partners V, L.P.","2018-05-29 00:00:00",200000000,181500000,18500000,276947925,0,276947925,1.5,95447925,0.251,"Corporate Finance/Buyout - Large",1
"2021-06-30 00:00:00",43imq1xnyo7ntl4rkfdm,"Silver Lake III SL SPV-2, L.P.","2019-02-22 00:00:00",63294745,63637662,0,48815364,41022197,89837561,1.4,26199899,0.3486,"Corporate Finance/Buyout - Mega",1
"2021-06-30 00:00:00",4olnlu69vcgucqzfo0tl,"KKR North America Fund XI, L.P. - Second Commitment","2013-07-26 00:00:00",250000000,288099308,13118725,219880703,379447164,599327867,2.1,311228559,0.195,"Corporate Finance/Buyout - Mega",1
"2021-06-30 00:00:00",4qtjvohm53x1w1q8ulaw,"Menlo Ventures XIV, L.P.","2017-10-30 00:00:00",100000000,95000000,5000000,167212376,30813250,198025626,2.1,103025626,0.4219,"Venture Capital",1
"2021-06-30 00:00:00",4sipy3ra3bz0w8v3uv5p,"EIG Energy Fund XVI, L.P.","2013-12-13 00:00:00",200000000,193244773,52072029,121716604,104727284,226443888,1.2,33199115,0.0476,"Special Situation",1
"2021-06-30 00:00:00",51ikvek9d9bwscyt82qb,"Nordic Capital Fund VIII, L.P.","2013-06-07 00:00:00",232209100,476652786,40067114,394690920,465832221,860523140,1.8,383870355,0.1747,"Corporate Finance/Buyout - Large",1
"2021-06-30 00:00:00",5rbd4w103vpkxcslbr9j,"TPG Growth V, L.P.","2021-02-05 00:00:00",400000000,161104294,239519967,200807158,820701,201627859,1.3,40523565,0.33,"Growth Equity",1
"2021-06-30 00:00:00",68vup4so9c5i7vahgcbh,"PAG Asia II, L.P.","2016-05-05 00:00:00",150000000,125422222,39597482,235228081,15879442,251107523,2,125685301,0.213,"Corporate Finance/Buyout - Large",1
"2021-06-30 00:00:00",691xyr4p729az9ss34ja,"Permira V, L.P.","2014-06-12 00:00:00",379049477,382361418,18269870,617260201,614852241,1232112442,3.2,849751024,0.2686,"Corporate Finance/Buyout - Large",1
"2021-06-30 00:00:00",6be2acskb2kfvz2lebnk,"GTCR Fund XI, L.P.","2014-09-02 00:00:00",350000000,336226646,23145527,808989100,599303431,1408292531,4.2,1072065885,0.4416,"Corporate Finance/Buyout - Mid",1
"2021-06-30 00:00:00",6hjkr520gpckojyg2hxx,"Rhone Partners V, L.P.","2015-07-16 00:00:00",170225536,176890783,39935648,232245130,65700846,297945976,1.7,121055193,0.2251,"Corporate Finance/Buyout - Mid",1
"2021-06-30 00:00:00",6qwuxaenhssrxkse5zms,"Banc Fund X, L.P.","2018-05-16 00:00:00",100318182,98311818,2006364,117465522,0,117465522,1.2,19153703,0.1331,"Corporate Finance/Buyout - Small",1
"2021-06-30 00:00:00",6yrwwtyudjwmijqnmflw,"Towerbrook Investors IV, L.P.","2013-10-01 00:00:00",200000000,158882573,77987151,252108422,82778443,334886865,2.1,176004292,0.2675,"Corporate Finance/Buyout - Large",1
