assigned_unid,report_date,capital_called_in_period,distributions_in_period
0OhJnjbEk9uP0J2Ar3pz,"2011-12-31 00:00:00",0,0
0OhJnjbEk9uP0J2Ar3pz,"2012-03-31 00:00:00",490362,0
0OhJnjbEk9uP0J2Ar3pz,"2012-06-30 00:00:00",5488397,0
0OhJnjbEk9uP0J2Ar3pz,"2012-09-30 00:00:00",6512465,0
0OhJnjbEk9uP0J2Ar3pz,"2012-12-31 00:00:00",6570615,0
0OhJnjbEk9uP0J2Ar3pz,"2013-03-31 00:00:00",9884228,0
0OhJnjbEk9uP0J2Ar3pz,"2013-06-30 00:00:00",0,511038
0OhJnjbEk9uP0J2Ar3pz,"2013-09-30 00:00:00",0,0
0OhJnjbEk9uP0J2Ar3pz,"2013-12-31 00:00:00",0,0
0OhJnjbEk9uP0J2Ar3pz,"2014-03-31 00:00:00",13084933,0
0OhJnjbEk9uP0J2Ar3pz,"2014-06-30 00:00:00",8517885,1125703
0OhJnjbEk9uP0J2Ar3pz,"2014-09-30 00:00:00",2814831,0
0OhJnjbEk9uP0J2Ar3pz,"2014-12-31 00:00:00",7558135,0
0OhJnjbEk9uP0J2Ar3pz,"2015-03-31 00:00:00",0,0
0OhJnjbEk9uP0J2Ar3pz,"2015-06-30 00:00:00",2453493,1503716
0OhJnjbEk9uP0J2Ar3pz,"2015-09-30 00:00:00",0,3416344
0OhJnjbEk9uP0J2Ar3pz,"2015-12-31 00:00:00",9323359,0
0OhJnjbEk9uP0J2Ar3pz,"2016-03-31 00:00:00",3545364,0
0OhJnjbEk9uP0J2Ar3pz,"2016-06-30 00:00:00",0,1307307
0OhJnjbEk9uP0J2Ar3pz,"2016-09-30 00:00:00",0,0
0OhJnjbEk9uP0J2Ar3pz,"2016-12-31 00:00:00",2257029,17150031
0OhJnjbEk9uP0J2Ar3pz,"2017-03-31 00:00:00",1621231,0
0OhJnjbEk9uP0J2Ar3pz,"2017-06-30 00:00:00",0,2411224
0OhJnjbEk9uP0J2Ar3pz,"2017-09-30 00:00:00",-45025,817756
0OhJnjbEk9uP0J2Ar3pz,"2017-12-31 00:00:00",0,0
0OhJnjbEk9uP0J2Ar3pz,"2018-03-31 00:00:00",1019690,0
0OhJnjbEk9uP0J2Ar3pz,"2018-06-30 00:00:00",1215255,4353029
0OhJnjbEk9uP0J2Ar3pz,"2018-09-30 00:00:00",0,5219550
0OhJnjbEk9uP0J2Ar3pz,"2018-12-31 00:00:00",0,11776441
0OhJnjbEk9uP0J2Ar3pz,"2019-03-31 00:00:00",0,26551790
