assigned_unid,fund_name,strategy,vintage_year,irr,tvpi_reported,total_contributed,total_value
wjkfl07tign27dgb6fmv,"Apax X, L.P.","Corporate Finance/Buyout - Mega",2020,1.4106,1.5,52745000,80130946
axy36ox2e6pfi35saiap,"Endeavour Capital Fund VI, L.P. - Secondary Purchase","Corporate Finance/Buyout - Small",2020,1.1161,2.1,4368627,9173114
fglw116zmvfackxmhsyv,"Jade Equity Investors, L.P.","Corporate Finance/Buyout - Mid",2020,1.0803,1.7,33543811,58625003
14f1f2egxqjhydex1i2w,"Endeavour Capital Fund V, L.P. - Secondary Purchase","Corporate Finance/Buyout - Small",2020,1.0611,2.1,148465,305996
cofg2pk41meyaethkllx,"TPG Partners VIII, L.P.","Corporate Finance/Buyout - Mega",2019,1.0084,1.8,185091287,342125862
12s33xgz5jxwy8v5wi5c,"Insight Partners XI, L.P.","Growth Equity",2020,0.9988,1.6,159000000,250818395
rtua694fn2qyxl2jcm9z,"TCV X, L.P.","Growth Equity",2019,0.8424,2.4,140970793,338017226
w0laj958u1udk7vt94f6,"Advent International GPE IX, L.P.","Corporate Finance/Buyout - Mega",2019,0.7472,1.9,253572434,490940676
8qz3wym0x0wksprlogl3,"Nordic Capital Fund IX, L.P.","Corporate Finance/Buyout - Large",2019,0.7149,2.1,264936384,551174444
b58cfzk9l1j20taynttv,"Blackstone Capital Partners Asia, L.P.","Corporate Finance/Buyout - Mid",2018,0.6529,2.5,105775501,265042649
1ts069ug8kvsp58lpbpm,"Sequoia Global Growth Fund III - Endurance Partners, L.P.","Growth Equity",2018,0.6227,2,245353516,497081937
y1wsi0o83h8bkd6l4uue,"Madison Dearborn Capital Partners VIII, L.P.","Corporate Finance/Buyout - Large",2020,0.5952,1.4,55833623,78910751
uzurccvlz4sm2rdhttme,"TA XIII, L.P.","Growth Equity",2019,0.5671,1.4,286549626,395985034
snwptmyiyl24beao1n8i,"Nordic Capital Fund X, L.P.","Corporate Finance/Buyout - Large",2021,0.5437,1.5,23722156,36620028
mpsjy9nqmlhhd4klt982,"Oaktree Opportunities Fund XI, L.P.","Distressed Debt",2020,0.5038,1.4,40000000,54615846
y4l3m2zyn2snbad7z2v6,"Warburg Pincus China-Southeast Asia II, L.P.","Growth Equity",2019,0.4892,1.5,52200000,77506425
pw13al6y5lgkya6mn70m,"Searchlight Capital Partners III, L.P.","Corporate Finance/Buyout - Large",2020,0.4608,1.4,109163836,149765639
6be2acskb2kfvz2lebnk,"GTCR Fund XI, L.P.","Corporate Finance/Buyout - Mid",2014,0.4416,4.2,336226646,1408292531
dna5iwnygobol42x5kof,"TA XII, L.P.","Growth Equity",2016,0.4303,2.5,283966685,720802013
1rmffc6texfebq4n7ra4,"KKR Americas Fund XII, L.P.","Corporate Finance/Buyout - Mega",2017,0.4298,2.1,571911755,1205394208
x2k3fur85zj8bio3wph1,"Providence Strategic Growth Europe, L.P.","Corporate Finance/Buyout - Mid",2021,0.4282,1.3,30142527,40603622
4qtjvohm53x1w1q8ulaw,"Menlo Ventures XIV, L.P.","Venture Capital",2017,0.4219,2.1,95000000,198025626
kyn1wegh0dqncsq5g0kg,"TCV IX, L.P.","Growth Equity",2016,0.4169,2.7,161423853,439697855
by97mo3nu2vshacx3qje,"New Mountain Partners V, L.P.","Corporate Finance/Buyout - Large",2017,0.4155,2,181228151,362428283
99fzd8q8rocmlqdqcg4a,"BGH Capital Fund I, L.P.","Corporate Finance/Buyout - Mid",2019,0.4119,1.3,77771252,103595389
